"SampleID","Group","Shannon","Simpson","Observed"
"Sample_1","Healthy",4.76632717799872,0.989692893498272,150
"Sample_2","Healthy",4.79428076440138,0.990300853450035,150
"Sample_3","Healthy",4.75984324705362,0.989650571254732,150
"Sample_4","Healthy",4.80801081365128,0.990592994804073,150
"Sample_5","Healthy",4.78146118620151,0.990086639873249,150
"Sample_6","Healthy",4.75207430403677,0.989827226123104,150
"Sample_7","Healthy",4.76134193657317,0.989687357496763,150
"Sample_8","Healthy",4.76480210696693,0.989741694947598,150
"Sample_9","Healthy",4.7738268430894,0.989948085438824,150
"Sample_10","Healthy",4.78921712843221,0.990294661335379,150
"Sample_11","Healthy",4.81848713711442,0.990588529969456,150
"Sample_12","Healthy",4.77434241964172,0.989777470839811,150
"Sample_13","Healthy",4.79556884879382,0.990390053604603,150
"Sample_14","Healthy",4.75701040421827,0.98978540546442,150
"Sample_15","Healthy",4.69027778107331,0.9883694180441,150
"Sample_16","Healthy",4.7541177714651,0.989508272786367,150
"Sample_17","Healthy",4.76599888676007,0.990020475100659,150
"Sample_18","Healthy",4.75663702260124,0.989669002046506,150
"Sample_19","Healthy",4.74786483970988,0.989547455974396,150
"Sample_20","Healthy",4.77890176245101,0.990186253544513,150
"Sample_21","IBD",4.71790042868239,0.988746828693657,148
"Sample_22","IBD",4.73616135121874,0.989253784824868,149
"Sample_23","IBD",4.77532675311906,0.99009807739583,150
"Sample_24","IBD",4.75646999865375,0.989734935398031,150
"Sample_25","IBD",4.73857267233058,0.989577359089405,149
"Sample_26","IBD",4.77698351074606,0.990044157987984,147
"Sample_27","IBD",4.79752090030096,0.990337560715464,150
"Sample_28","IBD",4.75305903940918,0.989774304559417,149
"Sample_29","IBD",4.75180497945789,0.989399007875562,150
"Sample_30","IBD",4.75481626176231,0.989514941063023,147
"Sample_31","IBD",4.75035711301885,0.989511210322506,149
"Sample_32","IBD",4.71065585447138,0.988781104222273,149
"Sample_33","IBD",4.76572986824983,0.990074971164937,149
"Sample_34","IBD",4.77313298674813,0.990059661760684,149
"Sample_35","IBD",4.77972949652979,0.990123382945437,150
"Sample_36","IBD",4.80382651987931,0.99055833562536,149
"Sample_37","IBD",4.76084850300371,0.989515758967275,150
"Sample_38","IBD",4.76845501693335,0.990048181440045,147
"Sample_39","IBD",4.73381482050745,0.989410043277753,150
"Sample_40","IBD",4.73143825269792,0.988919226042647,148
"Sample_41","Antibiotic_treated",4.62725264230699,0.98700486598768,141
"Sample_42","Antibiotic_treated",4.66572106044604,0.988271829869205,141
"Sample_43","Antibiotic_treated",4.68513590520259,0.989028314343,137
"Sample_44","Antibiotic_treated",4.62345943926405,0.988084305826468,131
"Sample_45","Antibiotic_treated",4.60937487655134,0.98741935483871,135
"Sample_46","Antibiotic_treated",4.67047080921702,0.988672086371718,137
"Sample_47","Antibiotic_treated",4.7219809097013,0.98974171351378,135
"Sample_48","Antibiotic_treated",4.68922451563432,0.988765821874874,141
"Sample_49","Antibiotic_treated",4.69848576244186,0.989301697530864,135
"Sample_50","Antibiotic_treated",4.65412510722871,0.988495708239389,137
"Sample_51","Antibiotic_treated",4.67144668019847,0.988596177159691,138
"Sample_52","Antibiotic_treated",4.71808993024449,0.989375799425412,142
"Sample_53","Antibiotic_treated",4.62741566753608,0.988023697608989,132
"Sample_54","Antibiotic_treated",4.65795182643479,0.988336988252824,140
"Sample_55","Antibiotic_treated",4.66017729148459,0.988793573172243,135
"Sample_56","Antibiotic_treated",4.62444552830711,0.987782237548759,134
"Sample_57","Antibiotic_treated",4.64100857611802,0.988334065711195,133
"Sample_58","Antibiotic_treated",4.62769610473081,0.988191794722101,130
"Sample_59","Antibiotic_treated",4.65385635411728,0.988414487289156,136
"Sample_60","Antibiotic_treated",4.69779412819998,0.989270132191971,140
